date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:56:08	3317/3317	---M--	200	added ('OK')	application/javascript	etag:%223f0030c-cf5-560f1b81f5800%22	https://thememakker.com/templates/infinio/html/assets/plugins/chartjs/polar_area_chart.js	C:/pfe/theme/thememakker.com/templates/infinio/html/assets/plugins/chartjs/polar_area_chart.js	(from https://thememakker.com/templates/infinio/html/light/chartjs.html)
14:56:08	4578/4578	---M--	200	added ('OK')	application/javascript	date:Sat,%2006%20Jan%202018%2016:58:02%20GMT	https://thememakker.com/templates/infinio/html/light/assets/js/pages/charts/chartjs.js	C:/pfe/theme/thememakker.com/templates/infinio/html/light/assets/js/pages/charts/chartjs.js	(from https://thememakker.com/templates/infinio/html/light/chartjs.html)
14:56:08	1574/1574	---M--	200	added ('OK')	application/javascript	date:Fri,%2022%20Dec%202017%2018:12:36%20GMT	https://thememakker.com/templates/infinio/html/light/assets/js/pages/charts/polar_area_chart.js	C:/pfe/theme/thememakker.com/templates/infinio/html/light/assets/js/pages/charts/polar_area_chart.js	(from https://thememakker.com/templates/infinio/html/light/chartjs.html)
14:56:09	6466/6466	---M--	200	added ('OK')	application/javascript	date:Fri,%2020%20Apr%202018%2022:00:56%20GMT	https://thememakker.com/templates/infinio/html/light/assets/js/pages/charts/sparkline.js	C:/pfe/theme/thememakker.com/templates/infinio/html/light/assets/js/pages/charts/sparkline.js	(from https://thememakker.com/templates/infinio/html/light/sparkline.html)
14:56:12	154174/154174	---M--	200	added ('OK')	image/jpeg	etag:%223f00238-25a3e-5829408905280%22	https://thememakker.com/templates/infinio/html/assets/images/lg/avatar2.jpg	C:/pfe/theme/thememakker.com/templates/infinio/html/assets/images/lg/avatar2.jpg	(from https://thememakker.com/templates/infinio/html/light/widgets-app.html)
14:56:14	520/520	---M--	200	added ('OK')	application/javascript	date:Mon,%2014%20Nov%202016%2022:15:50%20GMT	https://thememakker.com/templates/infinio/html/light/assets/js/pages/cards/basic.js	C:/pfe/theme/thememakker.com/templates/infinio/html/light/assets/js/pages/cards/basic.js	(from https://thememakker.com/templates/infinio/html/light/widgets-data.html)
14:56:14	445259/445259	---M--	200	added ('OK')	application/javascript	etag:%223f00308-6cb4b-5414a2eac9180%22	https://thememakker.com/templates/infinio/html/assets/plugins/chartjs/Chart.bundle.js	C:/pfe/theme/thememakker.com/templates/infinio/html/assets/plugins/chartjs/Chart.bundle.js	(from https://thememakker.com/templates/infinio/html/light/chartjs.html)
14:56:15	453620/453620	---M--	200	added ('OK')	image/jpeg	etag:%223f0022b-6ebf4-58293f0b8ce80%22	https://thememakker.com/templates/infinio/html/assets/images/image-gallery/6.jpg	C:/pfe/theme/thememakker.com/templates/infinio/html/assets/images/image-gallery/6.jpg	(from https://thememakker.com/templates/infinio/html/light/widgets-app.html)
14:56:15	7408/7408	---M--	200	added ('OK')	application/javascript	date:Sat,%2021%20Apr%202018%2022:11:36%20GMT	https://thememakker.com/templates/infinio/html/light/assets/js/pages/charts/chart-widgets.js	C:/pfe/theme/thememakker.com/templates/infinio/html/light/assets/js/pages/charts/chart-widgets.js	(from https://thememakker.com/templates/infinio/html/light/widgets-chart.html)
14:56:16	21001/21001	---M--	200	added ('OK')	text/css	etag:%223f02761-5209-5414a2eac9180%22	https://thememakker.com/templates/infinio/html/assets/plugins/light-gallery/css/lightgallery.css	C:/pfe/theme/thememakker.com/templates/infinio/html/assets/plugins/light-gallery/css/lightgallery.css	(from https://thememakker.com/templates/infinio/html/light/image-gallery.html)
