date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:57:45	2829/2829	---MCZ	200	added ('OK')	text/css	etag:W/%22b0d-4f9667e501300%22	http://tattek.sk/minimal/frontpage/assets/js/vendor/nivo-lightbox/css/themes/default/default.css	C:/pfe/pfe/tattek.sk/minimal/frontpage/assets/js/vendor/nivo-lightbox/css/themes/default/default.css	(from http://tattek.sk/minimal/frontpage/index.html)
12:57:45	58407/58407	---MCZ	200	added ('OK')	text/css	etag:W/%22e427-4fe4e7fb03080%22	http://tattek.sk/minimal/frontpage/assets/css/minimal.min.css	C:/pfe/pfe/tattek.sk/minimal/frontpage/assets/css/minimal.min.css	(from http://tattek.sk/minimal/frontpage/index.html)
12:57:46	33498/33498	---MCZ	200	added ('OK')	text/html	etag:W/%2282da-4fe4ec7b0ce80%22	http://tattek.sk/minimal/frontpage/about.html	C:/pfe/pfe/tattek.sk/minimal/frontpage/about.html	(from http://tattek.sk/minimal/frontpage/index.html)
12:57:47	25743/25743	---MCZ	200	added ('OK')	text/html	etag:W/%22648f-4fe4ed12af440%22	http://tattek.sk/minimal/frontpage/prices.html	C:/pfe/pfe/tattek.sk/minimal/frontpage/prices.html	(from http://tattek.sk/minimal/frontpage/index.html)
12:57:48	28015/28015	---MCZ	200	added ('OK')	text/html	etag:W/%226d6f-4fe4ed3ca5740%22	http://tattek.sk/minimal/frontpage/services.html	C:/pfe/pfe/tattek.sk/minimal/frontpage/services.html	(from http://tattek.sk/minimal/frontpage/index.html)
12:57:49	47700/47700	---MCZ	200	added ('OK')	text/html	etag:W/%22ba54-4fe4ecb90a0c0%22	http://tattek.sk/minimal/frontpage/faq.html	C:/pfe/pfe/tattek.sk/minimal/frontpage/faq.html	(from http://tattek.sk/minimal/frontpage/index.html)
12:57:49	24452/24452	---MCZ	200	added ('OK')	text/html	etag:W/%225f84-4fe4ecc758280%22	http://tattek.sk/minimal/frontpage/gallery.html	C:/pfe/pfe/tattek.sk/minimal/frontpage/gallery.html	(from http://tattek.sk/minimal/frontpage/index.html)
12:57:50	17485/17485	---MCZ	200	added ('OK')	text/html	etag:W/%22444d-4fe4ecd78e8c0%22	http://tattek.sk/minimal/frontpage/login.html	C:/pfe/pfe/tattek.sk/minimal/frontpage/login.html	(from http://tattek.sk/minimal/frontpage/index.html)
12:57:51	18180/18180	---MCZ	200	added ('OK')	text/html	etag:W/%224704-4fe4ece9ad380%22	http://tattek.sk/minimal/frontpage/signup.html	C:/pfe/pfe/tattek.sk/minimal/frontpage/signup.html	(from http://tattek.sk/minimal/frontpage/index.html)
12:57:52	15747/15747	---MCZ	200	added ('OK')	text/html	etag:W/%223d83-4fe4ecfad7c00%22	http://tattek.sk/minimal/frontpage/page-404.html	C:/pfe/pfe/tattek.sk/minimal/frontpage/page-404.html	(from http://tattek.sk/minimal/frontpage/index.html)
12:57:52	15729/15729	---MCZ	200	added ('OK')	text/html	etag:W/%223d71-4fe4ed0831b80%22	http://tattek.sk/minimal/frontpage/page-500.html	C:/pfe/pfe/tattek.sk/minimal/frontpage/page-500.html	(from http://tattek.sk/minimal/frontpage/index.html)
12:57:53	20182/20182	---MCZ	200	added ('OK')	text/html	etag:W/%224ed6-4fe4ed2d63340%22	http://tattek.sk/minimal/frontpage/search-results.html	C:/pfe/pfe/tattek.sk/minimal/frontpage/search-results.html	(from http://tattek.sk/minimal/frontpage/index.html)
12:57:54	20789/20789	---MCZ	200	added ('OK')	text/html	etag:W/%225135-4fe4eca503180%22	http://tattek.sk/minimal/frontpage/contacts.html	C:/pfe/pfe/tattek.sk/minimal/frontpage/contacts.html	(from http://tattek.sk/minimal/frontpage/index.html)
12:57:54	35596/35596	---MCZ	200	added ('OK')	text/html	etag:W/%228b0c-4fe4edc135000%22	http://tattek.sk/minimal/frontpage/portfolio-4.html	C:/pfe/pfe/tattek.sk/minimal/frontpage/portfolio-4.html	(from http://tattek.sk/minimal/frontpage/index.html)
12:57:55	35596/35596	---MCZ	200	added ('OK')	text/html	etag:W/%228b0c-4fe4ede1a1c80%22	http://tattek.sk/minimal/frontpage/portfolio-3.html	C:/pfe/pfe/tattek.sk/minimal/frontpage/portfolio-3.html	(from http://tattek.sk/minimal/frontpage/index.html)
12:57:56	35596/35596	---MCZ	200	added ('OK')	text/html	etag:W/%228b0c-4fe4eda681100%22	http://tattek.sk/minimal/frontpage/portfolio-2.html	C:/pfe/pfe/tattek.sk/minimal/frontpage/portfolio-2.html	(from http://tattek.sk/minimal/frontpage/index.html)
12:57:57	24231/24231	---MCZ	200	added ('OK')	text/html	etag:W/%225ea7-4fe4ee05df200%22	http://tattek.sk/minimal/frontpage/blog.html	C:/pfe/pfe/tattek.sk/minimal/frontpage/blog.html	(from http://tattek.sk/minimal/frontpage/index.html)
12:57:57	30082/30082	---MCZ	200	added ('OK')	text/html	etag:W/%227582-4fe4ee1709a80%22	http://tattek.sk/minimal/frontpage/blog-item.html	C:/pfe/pfe/tattek.sk/minimal/frontpage/blog-item.html	(from http://tattek.sk/minimal/frontpage/index.html)
12:58:14	99341/99341	---M--	200	added ('OK')	image/png	etag:%221840d-4fad85db70cc0%22	http://tattek.sk/minimal/frontpage/assets/images/slider/1.png	C:/pfe/pfe/tattek.sk/minimal/frontpage/assets/images/slider/1.png	(from http://tattek.sk/minimal/frontpage/index.html)
12:58:21	1337946/1337946	---M--	200	added ('OK')	image/jpeg	etag:%22146a5a-4f725a13fb480%22	http://tattek.sk/minimal/assets/images/weather/france.jpg	C:/pfe/pfe/tattek.sk/minimal/assets/images/weather/france.jpg	(from http://tattek.sk/minimal/weather-page.html)
12:58:26	73279/73279	---M--	200	added ('OK')	image/png	etag:%2211e3f-4fadaad2c0380%22	http://tattek.sk/minimal/frontpage/assets/images/slider/2.png	C:/pfe/pfe/tattek.sk/minimal/frontpage/assets/images/slider/2.png	(from http://tattek.sk/minimal/frontpage/index.html)
